,,,,,,,,,,,,,,
Rough Total,"$102,554.68",,,,,,,,,,,,short,1-2 days
,,,,,,,,,,,,,medium,weeks
Equipment,Brand,Model,Type,Cost,Quantity,,Extra Comments,Posession Status,Used in Build,Lead Time,Company Hassle,,long,month
Non-corrosive Mass Flow Controller,Aalborg,GFC17A-BAL6-A0,electronic,$941.00,2,,"for H2: THERMAL MFC 316 SS PTFE/KALREZ 1/4""COMPR FTG LCD DISPLAY 0-5VDC/4-20MA Hydrogen H2 0-2 STD L/MIN STD METERING PRESS [14.7PSIA] STD TEMP [21.1øC/70øF] 
for Ar: THERMAL MFC ALUMINUM BUNA-N 1/4""COMPR FTG LCD DISPLAY 0-5VDC/4-20MA Argon Ar 0-2 STD L/MIN STD METERING PRESS [14.7PSIA] STD TEMP [21.1øC/70øF]",arrived,yes,long,no,,very long,2 months+
Corrosive Mass Flow Controller,Teledyne Hastings,HFC-D-302B(H),electronic,"$1,655.00",1,,"Standard output, fittings, display, working pressure, & calibration type",arrived,yes,long,no,,,
Norman Filters Woven Mesh Filter U-91560,Norman Filters,4325TG-10V,piping,"$1,456.00",1,,"316SS mesh; for 1/2"" tube",arrived,yes,very long,custom part,,,
"1/4"" C-276 Ball Valves",Swagelok,HC-62TS4,piping,"$2,866.00",2,,,arrived,yes,very long,no,,,
"1/2"" C-276 Ball Valves",Swagelok,HC-63TS8,piping,"$3,727.00",2,,,arrived,no,very long,no,,,
Tube Furnace with Setpoint Control,ATS,3110-8.25-16-16,electronic,"$6,738.00",1,,"Tube type construction with stainless steel shell.
-Dimensions: 8.25 in. I.D. x 16 in. O.D. x 13 in. Long
-Elements: Kanthal A1, embedded windings.
-Furnace Temperature Rating: 800 deg. C.
-Single Zone Construction, 10 in. heated length
-Total Power: 5350 Watts/23.2 amps @ 230 VAC, 1Ph, 60 Hz.
-End Disk: 1.5 in. thick, bore 7 in. both ends
-End Caps: 1.5 in. thick, bore 7 in. both ends
-(1) Thermocouple Port: Located midlength of heated zone
-(1) Thermocouple, Type K, with ceramic insulator
-(1) Thermocouple, Type K, connector with mounting bracket
-(1 set) Support Brackets for vertical mount",arrived,yes,very long,custom part,,,
"1/2"" C-276 Tubing",Swagelok,HC-T8-S-049-20P,piping,$47.34,20,ft,,arrived,yes,long,no,,,
"1/4"" C-276 Tubing",Swagelok,HC-T4-S-035-20P,piping,$25.36,20,ft,,arrived,yes,long,no,,,
2L PTFE Scrubber Vessel,VWR,89026-028,scrubber,$183.95,1,,,arrived,no,medium,yes,,,
5L PTFE Scrubber Vessels,VWR,89026-020,scrubber,$299.59,2,,,arrived,yes,medium,yes,,,
"1/4"" ID PTFE Tubing",VWR/Thermo Scientific,63014-713,scrubber,$4.81,25,ft,,arrived,no,medium,yes,,,
HF Fumes Detector,VWR/GfG Instrumentation,76334-718,electronic,"$1,468.45",2,,"Range: 0-10 ppm, Resolution: 0.1 ppm",arrived,yes,long,yes,,,
HF Gas Cylinder,Linde,UN1052,gas,"$2,702.84",1,,"4.5 L (3.8kg) filled, 30"" tall with valve, 4.5"" diameter",arrived,yes,long - very long,supply issues,,,
Ar Gas Cylinder,Brazos Welding ,,gas,,,,,arrived,yes,short,no,,,
